Empresa,Ticket,Data_com,Data_pagamento,Provendos,Tipo_provendo
AMBEV,ABEV3,2014-01-14,2014-01-23,"R$ 0,1",Dividendo
AMBEV,ABEV3,2014-01-14,2014-01-23,"R$ 0,154",JCP
AMBEV,ABEV3,2014-04-02,2014-04-25,"R$ 0,13",Dividendo
AMBEV,ABEV3,2014-07-28,2014-08-28,"R$ 0,06",Dividendo
AMBEV,ABEV3,2014-07-28,2014-08-28,"R$ 0,1",JCP
AMBEV,ABEV3,2014-10-27,2014-11-13,"R$ 0,22",Dividendo
AMBEV,ABEV3,2015-01-01,2015-01-14,"R$ 0,13",JCP
AMBEV,ABEV3,2015-01-07,2015-01-30,"R$ 0,096",JCP
AMBEV,ABEV3,2015-02-27,2015-03-31,"R$ 0,09",JCP
AMBEV,ABEV3,2015-06-01,2015-06-29,"R$ 0,1",JCP
AMBEV,ABEV3,2015-09-08,2015-09-28,"R$ 0,15",Dividendo
AMBEV,ABEV3,2015-12-21,2015-12-30,"R$ 0,15",JCP
AMBEV,ABEV3,2016-01-29,2016-02-29,"R$ 0,13",JCP
AMBEV,ABEV3,2016-07-11,2016-07-29,"R$ 0,13",Dividendo
AMBEV,ABEV3,2016-10-31,2016-11-25,"R$ 0,16",Dividendo
AMBEV,ABEV3,2016-12-21,2016-12-29,"R$ 0,22",JCP
AMBEV,ABEV3,2017-01-23,2017-02-23,"R$ 0,07",Dividendo
AMBEV,ABEV3,2017-06-23,2017-07-17,"R$ 0,16",Dividendo
AMBEV,ABEV3,2017-12-18,2017-12-28,"R$ 0,31",JCP
AMBEV,ABEV3,2018-01-31,2018-02-22,"R$ 0,07",Dividendo
AMBEV,ABEV3,2018-06-15,2018-07-30,"R$ 0,16",Dividendo
AMBEV,ABEV3,2018-12-18,2018-12-28,"R$ 0,32",JCP
AMBEV,ABEV3,2019-12-19,2019-12-30,"R$ 0,4906",JCP
AMBEV,ABEV3,2020-12-17,2020-12-30,"R$ 0,4137",JCP
AMBEV,ABEV3,2021-01-13,2021-01-28,"R$ 0,0767",Dividendo
ATACADÃO,CRFB3,2018-05-03,2018-05-23,"R$ 0,0986",JCP
ATACADÃO,CRFB3,2018-08-01,2018-08-22,"R$ 0,0613",JCP
ATACADÃO,CRFB3,2018-11-12,2018-12-12,"R$ 0,1916",JCP
ATACADÃO,CRFB3,2019-05-21,2019-06-14,"R$ 0,0454",JCP
ATACADÃO,CRFB3,2019-08-21,2019-09-27,"R$ 0,1184",JCP
ATACADÃO,CRFB3,2019-08-21,2019-11-29,"R$ 0,1184",JCP
ATACADÃO,CRFB3,2020-05-21,2020-06-15,"R$ 0,006",JCP
ATACADÃO,CRFB3,2020-08-21,2020-09-25,"R$ 0,1214",JCP
ATACADÃO,CRFB3,2020-08-21,2020-11-23,"R$ 0,1214",JCP
B2W DIGITAL,BTOW3,2010-03-19,2010-04-12,"R$ 0,1026",Dividendo
B2W DIGITAL,BTOW3,2011-03-25,2011-04-25,"R$ 0,0561",Dividendo
B3,B3SA3,2016-05-23,2016-06-06,"R$ 0,095",JCP
B3,B3SA3,2016-08-22,2016-09-06,"R$ 0,1206",JCP
